epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,965.136,0.39031,0.31179,0.84215,0.97553,0.95071,0.96877,0.91655,0.31887,0.26949,0.81249,0.000557,0.000557,0.000557
58,982.918,0.38126,0.30153,0.84771,0.98676,0.95571,0.96342,0.92025,0.28876,0.25555,0.8056,0.000544625,0.000544625,0.000544625
59,1002.46,0.38071,0.31837,0.84349,0.97548,0.95207,0.95741,0.9123,0.30212,0.26129,0.80599,0.00053225,0.00053225,0.00053225
60,1022.22,0.37741,0.30728,0.84433,0.98906,0.94541,0.95446,0.91583,0.28567,0.26638,0.80259,0.000519875,0.000519875,0.000519875
61,1039.57,0.37838,0.31068,0.84261,0.99113,0.94164,0.9511,0.90777,0.28172,0.26397,0.80094,0.0005075,0.0005075,0.0005075
62,1055.67,0.38365,0.30706,0.8436,0.99171,0.94445,0.95513,0.92125,0.28119,0.25118,0.80385,0.000495125,0.000495125,0.000495125
63,1071.29,0.37557,0.30741,0.84146,0.99278,0.94564,0.95487,0.91757,0.27964,0.24887,0.79832,0.00048275,0.00048275,0.00048275
64,1087,0.37699,0.30433,0.84488,0.97806,0.94728,0.95359,0.90989,0.28798,0.25822,0.80634,0.000470375,0.000470375,0.000470375
65,1102.47,0.35703,0.28261,0.83671,0.99669,0.94474,0.95526,0.91535,0.28668,0.2507,0.80242,0.000458,0.000458,0.000458
66,1117.82,0.37312,0.28773,0.84124,0.98404,0.94403,0.95739,0.92238,0.27922,0.25482,0.79997,0.000445625,0.000445625,0.000445625
67,1133.92,0.37268,0.29412,0.84248,0.99207,0.9469,0.95569,0.92164,0.27775,0.2485,0.80022,0.00043325,0.00043325,0.00043325
68,1149.5,0.37779,0.29842,0.84278,0.99256,0.93889,0.9521,0.91355,0.27378,0.25198,0.80247,0.000420875,0.000420875,0.000420875
69,1165.63,0.35631,0.2781,0.83992,0.99479,0.94474,0.95276,0.91997,0.28522,0.25094,0.80845,0.0004085,0.0004085,0.0004085
70,1185.35,0.36158,0.28174,0.84192,0.97841,0.94713,0.9532,0.91403,0.27816,0.24931,0.80443,0.000396125,0.000396125,0.000396125
71,1204.97,0.35441,0.28019,0.83741,0.99182,0.9469,0.95969,0.92459,0.27363,0.23807,0.79943,0.00038375,0.00038375,0.00038375
72,1224.98,0.35908,0.27999,0.83942,0.99234,0.9457,0.95737,0.91007,0.28215,0.25491,0.79912,0.000371375,0.000371375,0.000371375
73,1243.47,0.35548,0.27914,0.83729,0.98509,0.94631,0.96116,0.92145,0.28139,0.23948,0.80852,0.000359,0.000359,0.000359
74,1261.43,0.34982,0.2774,0.83439,0.9949,0.9469,0.95503,0.9246,0.27027,0.23584,0.80253,0.000346625,0.000346625,0.000346625
75,1277.52,0.34239,0.26799,0.83304,0.99238,0.9469,0.96899,0.93162,0.27795,0.23663,0.79967,0.00033425,0.00033425,0.00033425
76,1295.71,0.33754,0.26997,0.82967,0.99298,0.94577,0.96523,0.93131,0.26605,0.2284,0.80149,0.000321875,0.000321875,0.000321875
77,1307.23,0.34561,0.26961,0.83195,0.99433,0.94505,0.96156,0.92713,0.26625,0.23057,0.80144,0.0003095,0.0003095,0.0003095
